           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";207345;"DKI JAKARTA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";104505;"JAWA BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";97305;"JAWA TENGAH"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";121079;"DI YOGYAKARTA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";99346;"JAWA TIMUR"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";131126;BANTEN
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";124790;BALI
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";98009;"NUSA TENGGARA BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";81617;"NUSA TENGGARA TIMUR"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";97773;"KALIMANTAN BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";91794;"KALIMANTAN TENGAH"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";131631;"KALIMANTAN SELATAN"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";179991;"KALIMANTAN TIMUR"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";173136;"KALIMANTAN UTARA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";85067;"SULAWESI UTARA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";104297;"SULAWESI TENGAH"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";82176;"SULAWESI SELATAN"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";81641;"SULAWESI TENGGARA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";74912;GORONTALO
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";73626;"SULAWESI BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";123475;MALUKU
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";98575;"MALUKU UTARA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";131510;"PAPUA BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";135468;PAPUA
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";112018;INDONESIA
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";111335;ACEH
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";104865;"SUMATERA UTARA"
