           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";365515;RIAU
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";343783;JAMBI
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";306087;"SUMATERA SELATAN"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";369211;BENGKULU
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";313620;LAMPUNG
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";492693;"KEP. BANGKA BELITUNG"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";396007;"KEP. RIAU"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";429915;"DKI JAKARTA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";281693;"JAWA BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";272080;"JAWA TENGAH"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";310947;"DI YOGYAKARTA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";298341;"JAWA TIMUR"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";331601;BANTEN
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";275834;BALI
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";286871;"NUSA TENGGARA BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";292305;"NUSA TENGGARA TIMUR"
